date,region,product,units,revenue
2026-01-15,EMEA,Widget-A,120,14400
2026-01-15,APAC,Widget-A,85,10200
2026-01-15,AMER,Widget-B,200,30000
2026-02-10,EMEA,Widget-A,95,11400
2026-02-10,APAC,Widget-B,150,22500
2026-02-10,AMER,Widget-A,175,21000
2026-03-05,EMEA,Widget-B,210,31500
2026-03-05,APAC,Widget-A,60,7200
2026-03-05,AMER,Widget-B,300,45000
2026-04-20,EMEA,Widget-A,140,16800
2026-04-20,APAC,Widget-B,110,16500
2026-04-20,AMER,Widget-A,250,30000
2026-05-12,EMEA,Widget-B,180,27000
2026-05-12,APAC,Widget-A,70,8400
2026-05-12,AMER,Widget-B,320,48000
2026-06-01,EMEA,Widget-A,160,19200
2026-06-01,APAC,Widget-B,130,19500
2026-06-01,AMER,Widget-A,280,33600
